Realeza;RS 08 - Francisco Beltrão;5.030;4.404;4.131
Rebouças;RS 04 - Irati;3.091;2.830;2.889
Renascença;RS 08 - Francisco Beltrão;1.521;1.364;1.396
Reserva;RS 21 - Telêmaco Borba;5.271;4.935;5.036
Reserva do Iguaçu;RS 05 - Guarapuava;1.237;1.071;1.136
Ribeirão Claro;RS 19 - Jacarezinho;4.556;4.023;4.084
Ribeirão do Pinhal;RS 18 - Cornélio Procópio;3.619;3.289;3.393
Rio Azul;RS 04 - Irati;2.557;2.239;2.339
Rio Bom;RS 16 - Apucarana;...;...;...
Rio Bonito do Iguaçu;RS 05 - Guarapuava;...;...;...
Rio Branco do Ivaí;RS 22 - Ivaiporã;...;...;...
Rio Branco do Sul;RS 02 - Curitiba;...;...;...
Rio Negro;RS 02 - Curitiba;6.879;6.109;5.962
Rolândia;RS 17 - Londrina;16.207;14.645;13.443
Roncador;RS 11 - Campo Mourão;...;...;...
Rondon;RS 13 - Cianorte;2.005;1.759;1.863
Rosário do Ivaí;RS 22 - Ivaiporã;951;868;929
Sabáudia;RS 16 - Apucarana;...;...;...
Salgado Filho;RS 08 - Francisco Beltrão;...;...;...
Salto do Itararé;RS 19 - Jacarezinho;1.092;979;1.051
Salto do Lontra;RS 08 - Francisco Beltrão;2.660;2.312;2.406
Santa Amélia;RS 18 - Cornélio Procópio;...;...;...
Santa Cecília do Pavão;RS 18 - Cornélio Procópio;1.060;978;1.027
Santa Cruz de Monte Castelo;RS 14 - Paranavaí;1.017;826;961
Santa Fé;RS 15 - Maringá;2.966;2.666;2.819
Santa Helena;RS 20 - Toledo;4.597;3.916;4.071
Santa Inês;RS 15 - Maringá;...;...;...
Santa Isabel do Ivaí;RS 14 - Paranavaí;3.131;2.731;3.131
Santa Izabel do Oeste;RS 08 - Francisco Beltrão;...;...;...
Santa Lúcia;RS 10 - Cascavel;...;...;...
Santa Maria do Oeste;RS 22 - Ivaiporã;...;...;...
Santa Mariana;RS 18 - Cornélio Procópio;3.083;2.820;2.987
Santa Mônica;RS 14 - Paranavaí;...;...;...
Santa Tereza do Oeste;RS 10 - Cascavel;...;...;...
Santa Terezinha de Itaipu;RS 09 - Foz do Iguaçu;7.908;7.338;7.295
Santana do Itararé;RS 19 - Jacarezinho;862;762;836
Santo Antônio da Platina;RS 19 - Jacarezinho;16.551;14.815;15.580
Santo Antônio do Caiuá;RS 14 - Paranavaí;...;...;...
Santo Antônio do Paraíso;RS 18 - Cornélio Procópio;...;...;...
Santo Antônio do Sudoeste;RS 08 - Francisco Beltrão;4.233;3.807;3.900
Santo Inácio;RS 15 - Maringá;1.447;1.286;1.415
São Carlos do Ivaí;RS 14 - Paranavaí;...;...;...
São Jerônimo da Serra;RS 18 - Cornélio Procópio;...;...;...
São João;RS 07 - Pato Branco;2.285;1.992;2.013
São João do Caiuá;RS 14 - Paranavaí;2.129;2.015;2.085
São João do Ivaí;RS 22 - Ivaiporã;2.719;2.465;2.625
São João do Triunfo;RS 03 - Ponta Grossa;585;522;517
São Jorge d'Oeste;RS 08 - Francisco Beltrão;...;...;...
São Jorge do Ivaí;RS 15 - Maringá;2.090;1.988;2.085
São Jorge do Patrocínio;RS 12 - Umuarama;...;...;...
São José da Boa Vista;RS 19 - Jacarezinho;...;...;...
São José das Palmeiras;RS 20 - Toledo;...;...;...
São José dos Pinhais;RS 02 - Curitiba;98.470;91.535;63.132
São Manoel do Paraná;RS 13 - Cianorte;...;...;...
São Mateus do Sul;RS 06 - União da Vitória;7.114;6.172;5.955
São Miguel do Iguaçu;RS 09 - Foz do Iguaçu;6.684;5.917;5.865
São Pedro do Iguaçu;RS 20 - Toledo;...;...;...
São Pedro do Ivaí;RS 16 - Apucarana;2.132;1.907;2.042
São Pedro do Paraná;RS 14 - Paranavaí;...;...;...
São Sebastião da Amoreira;RS 18 - Cornélio Procópio;...;...;...
São Tomé;RS 13 - Cianorte;1.151;1.017;1.091
Sapopema;RS 18 - Cornélio Procópio;914;764;795
Sarandi;RS 15 - Maringá;18.553;18.553;18.553
Saudade do Iguaçu;RS 07 - Pato Branco;...;...;...
Sengés;RS 03 - Ponta Grossa;3.997;3.697;3.889
Serranópolis do Iguaçu;RS 09 - Foz do Iguaçu;...;...;...
Sertaneja;RS 18 - Cornélio Procópio;887;887;887
