Pato Bragado;RS 20 - Toledo;2.343;1.752;2.343
Pato Branco;RS 07 - Pato Branco;41.294;36.699;30.827
Paula Freitas;RS 06 - União da Vitória;1.269;1.134;1.187
Paulo Frontin;RS 06 - União da Vitória;1.228;1.030;1.108
Peabiru;RS 11 - Campo Mourão;4.998;4.800;4.998
Perobal;RS 12 - Umuarama;2.719;2.459;2.613
Pérola;RS 12 - Umuarama;5.294;4.699;5.066
Pérola d'Oeste;RS 08 - Francisco Beltrão;1.759;1.542;1.638
Piên;RS 02 - Curitiba;3.242;2.986;3.079
Pinhais;RS 02 - Curitiba;51.948;47.070;39.494
Pinhal de São Bento;RS 08 - Francisco Beltrão;486;415;465
Pinhalão;RS 19 - Jacarezinho;2.131;1.940;2.086
Pinhão;RS 05 - Guarapuava;7.500;6.850;6.984
Piraí do Sul;RS 03 - Ponta Grossa;7.120;6.554;6.805
Piraquara;RS 02 - Curitiba;37.442;35.605;34.209
Pitanga;RS 05 - Guarapuava;9.457;8.498;8.688
Pitangueiras;RS 17 - Londrina;1.014;843;1.014
Planaltina do Paraná;RS 14 - Paranavaí;1.307;1.188;1.254
Planalto;RS 08 - Francisco Beltrão;3.313;2.902;3.024
Ponta Grossa;RS 03 - Ponta Grossa;158.166;146.615;126.448
Pontal do Paraná;RS 01 - Paranaguá;31.679;30.330;28.727
Porecatu;RS 17 - Londrina;5.043;4.638;4.924
Porto Amazonas;RS 03 - Ponta Grossa;1.712;1.587;1.664
Porto Barreiro;RS 05 - Guarapuava;556;495;556
Porto Rico;RS 14 - Paranavaí;2.517;2.271;2.373
Porto Vitória;RS 06 - União da Vitória;875;777;834
Prado Ferreira;RS 17 - Londrina;1.878;1.736;1.736
Pranchita;RS 08 - Francisco Beltrão;1.860;1.673;1.766
Presidente Castelo Branco;RS 15 - Maringá;2.210;2.121;1.999
Primeiro de Maio;RS 17 - Londrina;4.205;3.859;4.134
Prudentópolis;RS 05 - Guarapuava;11.218;10.261;10.459
Quarto Centenário;RS 11 - Campo Mourão;1.433;1.311;1.400
Quatiguá;RS 19 - Jacarezinho;3.620;3.297;3.572
Quatro Barras;RS 02 - Curitiba;8.775;8.151;7.909
Quatro Pontes;RS 20 - Toledo;1.610;1.415;1.610
Quedas do Iguaçu;RS 10 - Cascavel;9.482;8.559;8.597
Querência do Norte;RS 14 - Paranavaí;3.460;3.118;3.313
Quinta do Sol;RS 11 - Campo Mourão;1.774;1.581;1.697
Quitandinha;RS 02 - Curitiba;2.832;2.559;2.675
Ramilândia;RS 09 - Foz do Iguaçu;1.074;991;951
Rancho Alegre;RS 18 - Cornélio Procópio;1.601;1.470;1.554
Rancho Alegre D'Oeste;RS 11 - Campo Mourão;1.002;908;974
Realeza;RS 08 - Francisco Beltrão;7.024;6.222;6.176
Rebouças;RS 04 - Irati;3.911;3.614;3.658
Renascença;RS 08 - Francisco Beltrão;1.820;1.605;1.662
Reserva;RS 21 - Telêmaco Borba;7.217;6.725;6.929
Reserva do Iguaçu;RS 05 - Guarapuava;1.652;1.435;1.523
Ribeirão Claro;RS 19 - Jacarezinho;5.410;4.827;4.800
Ribeirão do Pinhal;RS 18 - Cornélio Procópio;5.596;5.188;5.266
Rio Azul;RS 04 - Irati;2.784;2.450;2.564
Rio Bom;RS 16 - Apucarana;1.127;1.035;1.098
Rio Bonito do Iguaçu;RS 05 - Guarapuava;2.369;2.119;2.211
Rio Branco do Ivaí;RS 22 - Ivaiporã;983;894;952
Rio Branco do Sul;RS 02 - Curitiba;9.912;9.252;9.246
Rio Negro;RS 02 - Curitiba;10.887;9.849;9.684
Rolândia;RS 17 - Londrina;29.964;27.592;27.038
Roncador;RS 11 - Campo Mourão;3.823;3.524;3.683
Rondon;RS 13 - Cianorte;3.494;3.130;3.277
